,Temp,Cp-1,Cp-2,Cp-3,Cp-4,Cp-5,Cp-6,Cp-7,Cp-8,r,s,z0l,zl,z0,zu,z0u,z0_gd
0,21,1.269789,1.30968,1.312751,1.270857,1.277475,1.278631,1.278492,1.278955,0.3,1.0,1.27075495886109,1.27550640879626,1.27744299506068,1.27986130642621,1.29647536665048,1.34367635450653
1,22,1.271276,1.310518,1.314484,1.271888,1.278841,1.279217,1.279715,1.279762,0.3,1.0,1.27897547955122,1.27929100751214,1.27944711943151,1.27958421534367,1.27994836798385,1.34532992528315
2,23,1.27257,1.312047,1.315948,1.273368,1.280174,1.280551,1.280826,1.281637,0.3,1.0,1.28021962025034,1.28051152253452,1.28068034724535,1.28087813756131,1.28147568450388,1.34664948912095
3,24,1.274185,1.312721,1.317608,1.274906,1.281786,1.282042,1.282349,1.282962,0.3,1.0,1.28182174229284,1.28203784339035,1.28218191275605,1.28235497546677,1.28282506629717,1.34816871657283
4,25,1.275536,1.312587,1.318696,1.27611,1.283152,1.283313,1.283771,1.284211,0.3,1.0,1.28316534761629,1.28332206938209,1.28350856596946,1.28375479688221,1.28415630968243,1.34959508408573
5,26,1.276822,1.314089,1.319651,1.277141,1.28437,1.284066,1.284627,1.285156,0.3,1.0,1.28411172441995,1.28435655361381,1.28449206830916,1.28464364304354,1.2850461340856,1.35132945166778
6,27,1.277942,1.314873,1.321236,1.278726,1.285898,1.285931,1.285844,1.286685,0.3,1.0,1.27879390411438,1.28358155983195,1.28568002632061,1.28835106870623,1.30682191313101,1.35232672110961
7,28,1.279572,1.316161,1.322566,1.280242,1.287323,1.287622,1.287439,1.287913,0.3,1.0,1.28734036442274,1.2874433249277,1.2875207817443,1.28761543824309,1.2878454459509,1.35416475564271
8,29,1.280839,1.317605,1.324226,1.281518,1.288466,1.288638,1.289292,1.289362,0.3,1.0,1.28160904196458,1.2864242389667,1.28862256789702,1.2914442278192,1.31092659592553,1.35577572956484
9,30,1.282579,1.319039,1.325355,1.282939,1.290187,1.29017,1.290246,1.290809,0.3,1.0,1.28304766382749,1.28776305702999,1.2902914617124,1.29364777440758,1.31635996762613,1.35726802414498
10,31,1.283308,1.31989,1.326547,1.283752,1.291104,1.290872,1.291161,1.291441,0.3,1.0,1.29090501557891,1.29106676858122,1.29113227422484,1.29120026532139,1.29139475407945,1.35871730618134
